SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,LATITUDE,LONGITUDE
PAST SALE,August-31-2016,Single Family Residential,4610 S Bradford St,Seattle,WA,98118,1835000,3,2.25,Lakewood,4340,24150,1912,177,,Sold,http://www.redfin.com/WA/Seattle/4610-S-Bradford-St-98118/home/489074,NWMLS,958295,47.5691485,-122.2751504
PAST SALE,September-23-2016,Single Family Residential,9618 50th Ave S,Seattle,WA,98118,439900,4,2,Rainier Beach,1900,5350,1967,154,,Sold,http://www.redfin.com/WA/Seattle/9618-50th-Ave-S-98118/home/175645,NWMLS,971557,47.516291,-122.270801
PAST SALE,October-6-2016,Single Family Residential,5801 S Hawthorn Rd,Seattle,WA,98118,781503,4,2.5,Seward Park,2720,12000,1956,141,,Sold,http://www.redfin.com/WA/Seattle/5801-S-Hawthorn-Rd-98118/home/489287,NWMLS,1014858,47.5487759,-122.260188
PAST SALE,October-4-2016,Single Family Residential,9629 57th Ave S,Seattle,WA,98118,425000,4,2.5,Rainier Beach,2010,5100,1966,143,,Sold,http://www.redfin.com/WA/Seattle/9629-57th-Ave-S-98118/home/175812,NWMLS,1017343,47.515909,-122.262359
PAST SALE,September-14-2016,Single Family Residential,8411 Renton Ave S,Seattle,WA,98118,315500,2,1,Brighton,780,6230,1949,163,,Sold,http://www.redfin.com/WA/Seattle/8411-Renton-Ave-S-98118/home/174265,NWMLS,1002473,47.5274934,-122.2778281
PAST SALE,January-25-2017,Single Family Residential,8445 Grattan Place S,Seattle,WA,98118,430000,5,3,Rainier Beach,2410,5709,2005,30,,Sold,http://www.redfin.com/WA/Seattle/8445-Grattan-Pl-S-98118/home/2061536,NWMLS,1030415,47.526314,-122.267207
PAST SALE,October-18-2016,Single Family Residential,4829 S Austin St,Seattle,WA,98118,474950,4,2.5,Beacon Hill,1842,5893,2016,129,,Sold,http://www.redfin.com/WA/Seattle/4829-S-Austin-St-98118/home/99788466,NWMLS,955956,47.5347018,-122.2712636
PAST SALE,October-31-2016,Single Family Residential,6522 46th Ave S,Seattle,WA,98118,275000,3,1.75,Brighton,1220,4960,1942,116,,Sold,http://www.redfin.com/WA/Seattle/6522-46th-Ave-S-98118/home/174033,NWMLS,1041448,47.543517,-122.27511
PAST SALE,October-12-2016,Single Family Residential,5145 S Myrtle St,Seattle,WA,98118,570000,3,1,Seward Park,1670,5549,1909,135,,Sold,http://www.redfin.com/WA/Seattle/5145-S-Myrtle-St-98118/home/491675,NWMLS,1025467,47.538662,-122.26804
PAST SALE,November-17-2016,Single Family Residential,5220 S Morgan St,Seattle,WA,98118,808000,6,3.5,Seward Park,3110,6000,1953,99,,Sold,http://www.redfin.com/WA/Seattle/5220-S-Morgan-St-98118/home/492977,NWMLS,950719,47.54446,-122.266231
PAST SALE,December-20-2016,Single Family Residential,4615 S Garden St,Seattle,WA,98118,375000,1,1.75,Brighton,1720,4000,1914,66,,Sold,http://www.redfin.com/WA/Seattle/4615-S-Garden-St-98118/home/173504,NWMLS,1020243,47.5374586,-122.2746246
PAST SALE,November-1-2016,Single Family Residential,5108 S Orcas St,Seattle,WA,98118,658000,3,2.25,Seward Park,2670,6180,1961,115,,Sold,http://www.redfin.com/WA/Seattle/5108-S-Orcas-St-98118/home/493005,NWMLS,1028963,47.551359,-122.269308
PAST SALE,November-4-2016,Single Family Residential,4508 S Brandon St,Seattle,WA,98118,699900,3,2.5,Columbia City,2020,2744,2003,112,,Sold,http://www.redfin.com/WA/Seattle/4508-S-Brandon-St-98118/home/2096553,NWMLS,1034658,47.5535514,-122.2760804
PAST SALE,August-30-2016,Single Family Residential,8031 S 130th St,Seattle,WA,98178,362000,3,2,Earlington,1675,14659,1960,178,,Sold,http://www.redfin.com/WA/Seattle/8031-S-130th-St-98178/home/195585,NWMLS,976512,47.4857299,-122.23142
PAST SALE,September-13-2016,Single Family Residential,8233 S 114th St,Seattle,WA,98178,399000,3,2.5,Bryn Mawr,1520,7800,1972,164,,Sold,http://www.redfin.com/WA/Seattle/8233-S-114th-St-98178/home/199352,NWMLS,1004912,47.5006802,-122.2287757
PAST SALE,January-3-2017,Single Family Residential,10901 Lakeridge Dr S,Seattle,WA,98178,439900,4,1.75,Lakeridge,2020,9910,1957,52,,Sold,http://www.redfin.com/WA/Seattle/10901-Lake-Ridge-Dr-S-98178/home/197912,NWMLS,1051877,47.5047671,-122.2456078
PAST SALE,November-30-2016,Single Family Residential,10703 66th Ave S,Seattle,WA,98178,324950,4,1.75,Upper Rainier Beach,1920,7254,1955,86,,Sold,http://www.redfin.com/WA/Seattle/10703-66th-Ave-S-98178/home/176856,NWMLS,1024920,47.5051135,-122.2513676
PAST SALE,September-21-2016,Single Family Residential,7762 S Mission Dr,Seattle,WA,98178,545000,3,1.75,Lakeridge,2360,11739,1955,156,,Sold,http://www.redfin.com/WA/Seattle/7762-S-Mission-Dr-98178/home/199323,NWMLS,1004695,47.503165,-122.235174
PAST SALE,December-6-2016,Single Family Residential,10925 Oakwood Ave S,Seattle,WA,98178,639000,4,3.25,Lakeridge,2973,9800,1940,80,,Sold,http://www.redfin.com/WA/Seattle/10925-Oakwood-Ave-S-98178/home/197654,NWMLS,1044326,47.5043994,-122.233314
PAST SALE,November-29-2016,Single Family Residential,7006 S 115th St,Seattle,WA,98178,341000,4,2,Lakeridge,1660,7040,1945,87,,Sold,http://www.redfin.com/WA/Seattle/7006-S-115th-St-98178/home/177141,NWMLS,1017965,47.499941,-122.246734
PAST SALE,November-29-2016,Single Family Residential,12248 43rd Ave S,Seattle,WA,98178,338000,3,1.75,Allentown,1740,6000,1942,87,,Sold,http://www.redfin.com/WA/Seattle/12248-43rd-Ave-S-98178/home/188268,NWMLS,1035525,47.492886,-122.278665
PAST SALE,September-13-2016,Single Family Residential,6303 S Prentice St,Seattle,WA,98178,386000,2,2.5,Upper Rainier Beach,2220,6600,1957,164,,Sold,http://www.redfin.com/WA/Seattle/6303-S-Prentice-St-98178/home/176063,NWMLS,1001903,47.5080435,-122.2544962
PAST SALE,January-3-2017,Single Family Residential,8521 S 121st St,Seattle,WA,98178,376999,4,1.75,Bryn Mawr,1430,12000,1955,52,,Sold,http://www.redfin.com/WA/Seattle/8521-S-121st-St-98178/home/197088,NWMLS,1048293,47.4944088,-122.2247386
PAST SALE,December-6-2016,Single Family Residential,8042 S 114th St,Seattle,WA,98178,377000,3,2.5,Bryn Mawr,1800,14360,1983,80,,Sold,http://www.redfin.com/WA/Seattle/8042-S-114th-St-98178/home/198177,NWMLS,1021763,47.501167,-122.2311796
PAST SALE,August-31-2016,Single Family Residential,8439 S 115th St,Seattle,WA,98178,476000,4,2,Bryn Mawr,2894,3781,1920,177,,Sold,http://www.redfin.com/WA/Seattle/8439-S-115th-St-98178/home/199816,NWMLS,1002651,47.5002009,-122.225889
PAST SALE,November-17-2016,Single Family Residential,10427 63rd Ave S,Seattle,WA,98178,340000,4,2,Upper Rainier Beach,1740,6000,1946,99,,Sold,http://www.redfin.com/WA/Seattle/10427-63rd-Ave-S-98178/home/177129,NWMLS,1031022,47.5073703,-122.2549766
PAST SALE,September-16-2016,Single Family Residential,10640 Dixon Dr S,Seattle,WA,98178,593000,3,1.75,Lakeridge,2860,10240,1956,161,,Sold,http://www.redfin.com/WA/Seattle/10640-Dixon-Dr-S-98178/home/197703,NWMLS,1013758,47.506776,-122.233339
PAST SALE,January-23-2017,Single Family Residential,8043 S 116th St,Seattle,WA,98178,445000,3,2,Renton,1630,6600,1959,32,,Sold,http://www.redfin.com/WA/Seattle/8043-S-116th-St-98178/home/199045,NWMLS,1030542,47.4988839,-122.23115
PAST SALE,September-29-2016,Single Family Residential,11425 S 61 Ave S,Seattle,WA,98178,373000,4,2.75,Skyway,1980,6000,1966,148,,Sold,http://www.redfin.com/WA/Seattle/11425-61st-Ave-S-98178/home/196973,NWMLS,968910,47.5001159,-122.2575919
PAST SALE,September-28-2016,Single Family Residential,12036 75th Ave S,Seattle,WA,98178,255000,3,1,Skyway,1170,6625,1944,149,,Sold,http://www.redfin.com/WA/Seattle/12036-75th-Ave-S-98178/home/198313,NWMLS,1004621,47.495427,-122.239542
PAST SALE,December-23-2016,Single Family Residential,7631 S 134th St,Seattle,WA,98178,329999,3,1,Earlington,1120,10536,1954,63,,Sold,http://www.redfin.com/WA/Seattle/7631-S-134th-St-98178/home/196122,NWMLS,1006195,47.483246,-122.236952
PAST SALE,December-23-2016,Single Family Residential,11004 Parkview Ave S,Seattle,WA,98178,540000,3,2.5,Lakeridge,1600,8081,1951,63,,Sold,http://www.redfin.com/WA/Seattle/11004-Parkview-Ave-S-98178/home/197516,NWMLS,1051129,47.50468,-122.242121
PAST SALE,December-6-2016,Single Family Residential,10209 Rainier Ave S,Seattle,WA,98178,475950,3,1.75,Upper Rainier Beach,1380,6000,1906,80,,Sold,http://www.redfin.com/WA/Seattle/10209-Rainier-Ave-S-98178/home/177426,NWMLS,1032002,47.510738,-122.243146
PAST SALE,October-4-2016,Single Family Residential,8041 S 118th St,Seattle,WA,98178,524950,4,2.75,Bryn Mawr,2120,11642,1948,143,,Sold,http://www.redfin.com/WA/Seattle/8041-S-118th-St-98178/home/199576,NWMLS,975860,47.4971578,-122.2310976
PAST SALE,December-6-2016,Single Family Residential,11867 56th Place S,Seattle,WA,98178,280299,3,2,Seattle,1610,9690,1987,80,,Sold,http://www.redfin.com/WA/Seattle/11867-56th-Pl-S-98178/home/178264,NWMLS,1021583,47.495699,-122.267514
PAST SALE,December-28-2016,Single Family Residential,12824 84th Ave S,Seattle,WA,98178,351500,3,1.75,Bryn Mawr,1750,15254,1948,58,,Sold,http://www.redfin.com/WA/Seattle/12824-84th-Ave-S-98178/home/198285,NWMLS,1047662,47.4872889,-122.226746
PAST SALE,November-15-2016,Single Family Residential,11232 56 Ave S,Seattle,WA,98178,377000,3,2,Upper Rainier Beach,1540,11200,1963,101,,Sold,http://www.redfin.com/WA/Seattle/11232-56th-Ave-S-98178/home/177965,NWMLS,1010054,47.4991583,-122.2621646
PAST SALE,October-11-2016,Single Family Residential,7615 S 113th St,Seattle,WA,98178,280000,3,1,Lakeridge,980,6000,1950,136,,Sold,http://www.redfin.com/WA/Seattle/7615-S-113th-St-98178/home/198111,NWMLS,974007,47.501889,-122.237427
PAST SALE,November-18-2016,Single Family Residential,11837 77th Ave S,Seattle,WA,98178,412500,4,2.5,Bryn Mawr,2048,7139,1968,98,,Sold,http://www.redfin.com/WA/Seattle/11837-77th-Ave-S-98178/home/198098,NWMLS,1028801,47.4962375,-122.2372928
PAST SALE,January-30-2017,Single Family Residential,6812 S 120 Place,Seattle,WA,98178,239925,4,1,Skyway,1320,6000,1944,25,,Sold,http://www.redfin.com/WA/Seattle/6812-S-120th-Pl-98178/home/195250,NWMLS,1050639,47.495554,-122.248344
PAST SALE,February-3-2017,Single Family Residential,12220 68 th Ave S,Seattle,WA,98178,270000,3,1.75,Skyway,1070,6350,1944,21,,Sold,http://www.redfin.com/WA/Seattle/12220-68th-Ave-S-98178/home/196272,NWMLS,1069263,47.4932359,-122.2486877
PAST SALE,October-7-2016,Single Family Residential,12004 71st Ave S,Seattle,WA,98178,449000,4,2.5,Skyway,2020,11520,1955,140,,Sold,http://www.redfin.com/WA/Seattle/12004-71st-Ave-S-98178/home/196733,NWMLS,1013786,47.494257,-122.244248
PAST SALE,September-6-2016,Single Family Residential,6730 S 133rd St,Seattle,WA,98178,560500,3,3.25,Bryn Mawr,3840,34800,1956,171,,Sold,http://www.redfin.com/WA/Seattle/6730-S-133rd-St-98178/home/195462,NWMLS,974317,47.484633,-122.249394
PAST SALE,December-28-2016,Single Family Residential,12038 76th Ave S,Seattle,WA,98178,415000,4,2,Seattle,2160,7011,1944,58,,Sold,http://www.redfin.com/WA/Seattle/12038-76th-Ave-S-98178/home/198116,NWMLS,1027476,47.494372,-122.237882
PAST SALE,September-30-2016,Single Family Residential,8533 S 120th St,Seattle,WA,98178,345500,4,2,Bryn Mawr,1460,6000,1941,147,,Sold,http://www.redfin.com/WA/Seattle/8533-S-120th-St-98178/home/198713,NWMLS,1007330,47.495136,-122.224247
PAST SALE,December-23-2016,Single Family Residential,5144 S Augusta St,Seattle,WA,98178,419000,5,3.5,Lakeridge,2042,8071,2016,63,,Sold,http://www.redfin.com/WA/Seattle/5144-S-Augusta-St-98178/home/22683981,NWMLS,1013463,47.500242,-122.26852
PAST SALE,February-2-2017,Single Family Residential,6949 S Rustic Rd,Seattle,WA,98178,567000,5,2.75,Lakeridge,3377,7623,1968,22,,Sold,http://www.redfin.com/WA/Seattle/6949-S-Rustic-Rd-98178/home/197397,NWMLS,1057572,47.508374,-122.245339
PAST SALE,November-15-2016,Single Family Residential,11409 87th Ave S,Seattle,WA,98178,505000,3,2.5,Bryn Mawr,3070,5871,1928,101,,Sold,http://www.redfin.com/WA/Seattle/11409-87th-Ave-S-98178/home/199462,NWMLS,1029358,47.5006862,-122.2232464
PAST SALE,August-29-2016,Single Family Residential,8410 S 115th Place,Seattle,WA,98178,369000,4,2.5,Bryn Mawr,1890,3000,1998,179,,Sold,http://www.redfin.com/WA/Seattle/8410-S-115th-Pl-98178/home/197640,NWMLS,970353,47.4999667,-122.2271332
PAST SALE,February-17-2017,Single Family Residential,12821 65th Ave S,Seattle,WA,98178,335000,3,1.5,Skyway,1150,9600,1939,7,,Sold,http://www.redfin.com/WA/Seattle/12821-65th-Ave-S-98178/home/196013,NWMLS,1057083,47.48794,-122.253364
PAST SALE,October-20-2016,Single Family Residential,10427 62nd Ave S,Seattle,WA,98178,475000,6,2.5,Upper Rainier Beach,2810,9350,1965,127,,Sold,http://www.redfin.com/WA/Seattle/10427-62nd-Ave-S-98178/home/178393,NWMLS,977898,47.5073783,-122.256277
